,experiment,mean_ratio,std_error
9,CDC9,0.43751793079554674,0.013120576871130853
10,GFP,0.5715082028743567,0.047906784183100196
4,RAM2,0.6017489965865194,0.02965371416056934
6,SQT1,0.6138859006235039,0.04340933107736853
8,FOL3,0.6158654743244963,0.054013494249967105
5,CEG1,0.6369071979377603,0.049231216639637566
1,TSC13,0.6397630169419689,0.03038356892248531
7,KAP95,0.6645215902643599,0.04461913884677599
3,DFR1,0.700389123307355,0.06137253036304543
2,SEC2,0.7823359327733418,0.0470513944465169
0,NUS1,1.0468508808937358,0.2554505136881879
