time,sample,NUS1,TSC13,SEC2,DFR1,RAM2,CEG1,SQT1,KAP95,FOL3,CDC9,GFP,WT
1,1,40679.21648,33965.72827,34123.54721,32539.16449,36651.76975,34777.45638,34522.39993,37625.96497,36110.19586,36649.04863,45720.08663,21270.85335
1,2,29901.12316,36496.37101,31232.10952,31380.71442,35741.98132,30512.84537,39354.51539,36879.52186,37203.45305,39336.94997,43436.44599,21864.58225
1,3,29502.17679,36318.94049,34138.89641,35466.29213,36067.38223,34256.61351,36082.61418,38735.79152,41153.18019,41222.62085,49946.33605,163971.9626
2,1,24845.63856,32280.27912,28743.84236,27081.62411,28752.07592,25427.45286,32912.08791,29627.48066,35497.53778,32614.31752,46371.67375,18914.25345
2,2,25331.39708,31238.09524,27770.32066,28264.58566,30614.91422,26646.08696,33140.26828,31791.00552,36431.16102,33483.49969,41582.01784,19365.17639
2,3,25098.78361,29245.58587,29131.34851,29346.43226,28877.31274,26330.92208,32755.20499,32210.13507,36389.79421,30599.92963,42835.37415,127021.2766
3,1,46582.30658,45235.04494,47493.71333,41667.70058,43544.47301,39275.46555,43908.57259,41506.63298,46175.33048,47180.1955,53663.71872,29107.25755
3,2,38814.86747,41352.19209,37620.13295,36730.49133,38707.87069,32588.74113,38900.49892,33592.94437,39015.81898,41849.04153,42385.51651,24969.72144
3,3,39889.31665,31889.19855,28976.27766,29693.54175,29998.52898,27967.05647,33071.18386,32122.02166,34087.95442,34712.39698,40587.32479,129894.958
4,1,51234.46247,48315.63422,44768.06159,42448.4127,43985.53636,40349.50495,45915.3101,42680.62518,48572.71364,45499.36418,56942.61148,30752.9031
4,2,48111.08005,45378.87196,44888.84315,39273.30335,45224.38873,38652.02457,42940.62304,42602.99625,46598.9316,48682.53471,51096.52837,29026.93398
4,3,50997.58891,55219.57592,59384.60024,42593.36532,51904.12919,48928.86345,57367.34485,49531.64429,50232.63158,53716.08576,51834.08457,179230.7692
5,1,30728.63266,35032.87311,31553.17714,33930.06868,33686.64012,24978.50822,37057.31785,34324.07578,41993.42414,36905.28233,49926.09916,21438.97178
5,2,30173.71014,35846.08121,32765.25512,36254.6706,33895.67895,38750.24935,38258.38264,35742.49682,42644.75271,39367.82183,48564.09224,23595.56079
5,3,35164.47714,38419.80112,36901.26639,34131.71002,40116.18985,30384.7921,39300.10127,35854.45167,43754.32333,40271.38709,49923.14547,148485.5769
10,1,32611.56383,38004.89783,36041.60223,33158.47598,34826.3513,35075.50614,37278.15979,34362.48168,40313.42247,34556.58562,48807.54909,21441.84556
10,2,28594.02852,36512.73265,30127.71886,32928.27149,32250.90658,31084.46389,38145.80588,36305.51097,40653.58284,39325.79929,49378.61002,26781.33612
10,3,30981.17422,38245.25798,32448.89747,34475.9183,32440.10951,31920.97971,35151.91546,37619.87947,44376.44022,39936.9953,49491.38931,72724.6236
11,1,41256.41026,38930.93923,44772.25157,40004.93778,45416.11219,39704.18327,43058.42269,46851.64329,47615.97542,40652.61044,54463.34428,29297.25194
11,2,44921.18731,42590.98428,46315.13519,45761.73512,46342.64753,44102.93964,48009.13432,43708.53725,56471.92716,45580.76034,54613.80577,38330.26623
11,3,34702.94454,50984.23964,47940.3424,42096.00708,46137.39111,44081.23998,44963.71398,41117.35612,49086.4799,44990.69513,53518.08308,319411.7647
12,1,39115.25507,38092.07366,37355.92945,34847.67025,40117.27257,36733.82654,36863.17146,39404.56119,37945.46819,34621.53694,43448.21967,29281.51478
12,2,38333.2078,35512.72342,38954.59837,33566.31288,34077.09289,35033.36281,38187.15836,35885.53891,38210.94793,35654.54096,42843.38358,26606.15182
12,3,37200.28271,39872.9029,34519.36174,33886.26506,38954.73938,34103.37936,34775.14231,37082.72149,35350.6216,33139.8878,42353.84615,422805.4299
15,1,31249.47116,31526.27939,32046.7453,29953.95948,32870.57522,29918.78607,32181.44242,34762.63772,33126.18251,29465.76537,38459.51284,23935.17479
15,2,33085.23242,31389.9559,31546.96532,31206.0806,31456.18557,29512.71655,32565.88386,33512.70425,33131.38686,31147.02581,36293.67504,21813.15922
15,3,34593.37572,32477.11839,31913.68888,31307.89987,30661.4786,30935.30028,31268.51354,32461.45984,32404.74174,30930.94007,35803.26136,353903.9666
